Codigo,Entidad,Nombre Fantasia,Comuna,Longitud,Latitud
87926,Fullcarga,LA FAMILIA,Estacion Central,-70.6985782133289,-33.461998008532
88188,Fullcarga,LIBRERIA JIT VITACURA,Vitacura,-70.5534623148722,-33.3913782111783
88189,Fullcarga,MARTINA,Maipu,-70.7232939583333,-33.4739939583333
88192,Fullcarga,KIOSKO BIP VITACURA LAS U,Vitacura,-70.54683156148609,-33.3822622500193
88196,Fullcarga,KIOSCO PUEBLO JUPLEI,Vitacura,-70.5714928152851,-33.390018957532895
88206,Fullcarga,LOS SOCIOS EST CENTRAL,Estacion Central,-70.71326698,-33.46860798
88218,Fullcarga,CONFITERIA Y CAFETERIA SN,San Miguel,-70.6398872222222,-33.4976408333333
88219,Fullcarga,ANGEMAR 13 SN MIGUEL,San Miguel,-70.64060504,-33.51211963
88220,Fullcarga,JACQUELINE CHAMO,La Reina,-70.53647518518521,-33.4545855555556
88224,Fullcarga,FRANCISCO JAVIER GONZALEZ,La Granja,-70.6241036385455,-33.5576789175267
88227,Fullcarga,JOVI LA GRANJA,La Granja,-70.62641673,-33.55013832
88229,Fullcarga,DON REMI CERRILLOS,Cerrillos,-70.7340933113409,-33.5082795458454
88231,Fullcarga,SANTA ELENA LA GRANJA,La Granja,-70.630266147619,-33.546485790476105
88233,Fullcarga,YASNITA Y CARLITOS EST CE,Estacion Central,-70.69929737,-33.47005404
88234,Fullcarga,LUIS MORA CERRILLOS,Cerrillos,-70.71528509,-33.49056193
88235,Fullcarga,JUANA SAAVEDRA VILLASECA,Estacion Central,-70.69655687,-33.47146035
88237,Fullcarga,MINIMARKET JUAN PABLO,Estacion Central,-70.70340285,-33.47404759
88246,Fullcarga,SANTA TERESITA LO ESPEJO,Lo Espejo,-70.689894,-33.50783
88248,Fullcarga,MINIMARKET SAN LUIS,Lo Espejo,-70.697252516631,-33.5274762610669
88403,Fullcarga,BOTILLERIA GILBERTO HUECH,Huechuraba,-70.63843017,-33.36827503
88444,Fullcarga,LOS LAGOS,Peñalolen,-70.56397006798609,-33.4826560897059
88637,Fullcarga,FARM LA FE LO ESPEJO,Lo Espejo,-70.69588900000001,-33.519935
88682,Fullcarga,BAZAR LOS CRUCES,Cerro Navia,-70.764905,-33.4164266666667
88692,Fullcarga,GOOD LUCK,Recoleta,-70.64447963768109,-33.4216926086956
